"i","Receiver","From","Justification","Gift","Disposition","Value_USD","Date","country"
"428","First Family, Obamas","His Excellency Arturo Sarukhan, Ambassador of the United Mexican States.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Two volume set about the diary of Frida Kahlo, printed by the Bank of Mexico. This volume is limited edition of 3000 for three Mexican art museums. Volume One: ‘‘Transcriptions,’’ bound in 1⁄4 leather, is Spanish language transcription. Volume Two: ‘‘Poems,’’ bound in full embossed blue leather, is 92-page full-color facsimile of one of Kahlo’s diaries","National Archives and Records Administration.","1844.54","2011-12-14","Mexico"
"429","First Family, Obamas","His Royal Highness King Abdullah II ibn Al Hussein, King of the Hashemite Kingdom of Jordan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Wooden candle holder comprised of two spheres on top of one another with white designs containing candle in center; Wooden candle holder comprised of three rectangular figures on top of one another with white designs","National Archives and Records Administration.","2200","2011-12-20","Jordan"
"430","First Lady Michelle Obama","Mrs. Carla Bruni-Sarkozy, First Lady of the French Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Two 6.5″ 14″ Baccarat ‘‘Our Fire’’ clear full-headed crystal table lamps on silver pedestals with silver and crystal lampshades in red presentation box, inscribed with ‘‘Baccarat’’ on the top","National Archives and Records Administration.","5500","2011-01-10","France"
"431","First Lady Michelle Obama","His Excellency Hu Jintao and Mrs. Liu Yongqing, President and First Lady of the People’s Republic of China.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Silver, handmade ‘‘Plum Blossom’’ brooch designed by Teng Fei, presented in wooden box with brooch design on front","National Archives and Records Administration.","1400","2011-01-18","Republic of China"
"432","First Lady Michelle Obama","Mrs. Margarita Zavala Gomez del Campo, First Lady of the United Mexican States.","Non-acceptance would cause embarrassment to donor and U.S. Government.","17.5″ green, pink, and red-beaded necklace with silver-colored leaf pendants. Matching silver-colored flower earrings with pink and green beads. Two piece vase includes 12″ tall base with ceramic base and black flowers painted on tan background, and 5.5″ tall, round vase top with black floral pattern painted on tan background","National Archives and Records Administration.","380","2011-03-02","Mexico"
"433","First Lady Michelle Obama","The Honorable Sergio Cabral, Governor of the State of Rio de Janeiro of the Federative Republic of Brazil.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Personalized, red and black stripe ‘‘Regatas di Flamengo’’ women’s jersey by Olympikus. Personalized white, silver, and black ‘‘Electrobras’’ women’s soccer jersey by Penalty. Personalized yellow and green women’s CBF Brazil soccer jersey by Nike. Silver necklace with silver medallion by designer Francesca Romana Diana. Personalized, crimson and green ‘‘Unimed Brazil’’ women’s soccer jersey by Adidas. Personalized black and white striped ‘‘Bozzano’’ women’s soccer jersey by Fila","National Archives and Records Administration.","874.6","2011-03-18","Brazil"
"434","First Lady Michelle Obama","The Honorable Vicky Barahona Kunstmann, Mayor of Renca of the Republic of Chile.","Non-acceptance would cause embarrassment to donor and U.S. Government.","3″ 5″ metal cross, attached to rectangular wooden base with Renca town emblem and plaque commemorating the First Lady’s visit on the front, presented in blue velvet box. Silver-colored bracelet with blue and green charms, presented in square, blue velvet box. 10″ silver-colored necklace with blue stones, presented in rectangular blue velvet box","National Archives and Records Administration.","870","2011-03-19","Chile"
"435","First Lady Michelle Obama","Mrs. Cecilia Morel Montes, First Lady of the Republic of Chile.","Non-acceptance would cause embarrassment to donor and U.S. Government.","16″ 72″ Alpaca ‘‘Ocatavio Pizarro’’ scarf, in off-white with small black sequin pattern, and black jewels sewn in two rows, presented in 10.5″ 28.25″ black leather box. Silver necklace with 19 cone-shaped pendants and matching silver earrings, presented in 2″ 8.5″ 1″ blue box","National Archives and Records Administration.","670","2011-03-21","Chile"
"436","First Lady Michelle Obama","Mrs. Maria Bashir, Chief Prosecutor of Herat Province of the Islamic Republic of Afghanistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","8.5″ 10″ silk bag, purple with pink, red, and green floral pattern. 34″ 33″ cotton scarf, red with pink, blue, yellow, and green pattern. 65″ 26″ cotton scarf in green, red and black cotton scarf with black fringe. Set of earrings, ring, and necklace made of silver and turquoise","National Archives and Records Administration.","388","2011-04-12","Afghanistan"
"437","First Lady Michelle Obama","Mrs. Carla Bruni-Sarkozy, First Lady of the French Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Three Coffret soaps, 100G, by Frederic Malle. Jurassic flower candle by Frederic Malle. Cologne Bigarade by Frederic Malle, 250ml","Handled pursuant to U.S. Secret Service policy.","435","2011-05-25","France"
"438","First Lady Michelle Obama","Her Majesty Queen Elizabeth II, Queen of the United Kingdom of Great Britain and Northern Ireland.","Non-acceptance would cause embarrassment to donor and U.S. Government.","2″ brooch with gold leaves and coral flowers in red leather jewel box by Bentley Skinner, presented in black gift box. 10″ 12″ oak box with Her Majesty’s emblem on the front and chocolates, tea, and orange sticks from Demarquette Fine Chocolates inside. Oak box contained in white box from Charbonnel et Walker. Porcelain floral arrangement from Bronte Floral Collection, enclosed in 16″ 10″ red box","Brooch is on Official Display/Use; Box is at National Archives and Records Administration; Perishable goods handled pursuant to US Secret Service policy.","1660","2011-05-25","United Kingdom of Great Britain and Northern Ireland"
"439","First Lady Michelle Obama","Her Excellency Dr. Angela Merkel, Chancellor of the Federal Republic of Germany.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Book, title: ‘‘Berlin: Art and Architecture,’’ published by Ullmann Publishing. Six 7.5″ hand-blown wine glasses with amber flowers and amber stem. Six bottles of German wine","National Archives and Records Administration; Perishable goods handled pursuant to U.S. Secret Service policy.","1331.99","2011-06-06","Germany"
"440","First Lady Michelle Obama","Mrs. Nompumelelo Ntuli-Zuma, First Lady of the Republic of South Africa.","Non-acceptance would cause embarrassment to donor and U.S. Government.","34″ 29.5″ wooden-framed embroidery piece on white textile, depicting two people, one with smoking pipe. 18″ 18″ platter and set of four 4.5″ 5.5″ matching bowls, all are green with yellow, red, and blue highlights, and blue and black trim. All pieces are enclosed in 16″ 16″ 5.5″ green box. 12″ 9″ 6″ golden bust of South African woman wearing gray headdress in 14″ 11″ 6″ black presentation box; Matching, handblown 8″ 5.5″ display bowl and 10.5″ 8″ stem vase, with swirl pattern in green, brown, purple, and gray, both enclosed in 19.5″ 12.5″ 7.5″ green presentation box","National Archives and Records Administration.","2400","2011-06-21","South Africa"
"441","First Lady Michelle Obama","His Excellency Dr. Boni Yayi, President of the Republic of Benin.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Ten pieces of six yards of cloth made by Vlisco in Holland, of various designs and colors","National Archives and Records Administration.","820","2011-08-11","Benin"
"442","First Lady Michelle Obama","The Honorable Dr. Navinchandra Ramgoolam, GCSK, FRCP, Prime Minister of the Republic of Mauritius.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Painting of red roofed building on tropical shore with woman and small child in the foreground, in an 11.5″ 9.5″ gold frame. Pair of Swarovski crystal swans, in 7.75″ 7.75″ 3.75″ blue cardboard presentation box","National Archives and Records Administration.","390","2011-09-20","Mauritius"
"443","First Lady Michelle Obama","His Excellency Lee Myung-bak and Mrs. Kim Yoon-ok, President and First Lady of the Republic of Korea.","Non-acceptance would cause embarrassment to donor and U.S. Government.","8″ 5.5″ 4″ black wood jewelry box with four embroidered panels, the background of the panels is purple silk, and the embroidery depicts birds and landscapes. 11″ 14.5″ 7″ Korean, black lacquer jewelry box with mother of pearl inlay that depicts landscapes and birds, and has bureau-style doors with turtle-shaped doorknobs on the front and drawer below, with an inner compartment that has three smaller drawers on the left and section for hanging necklaces on the right. An assortment of Vidi Vici make-up","National Archives and Records Administration; Perishable goods handled pursuant to U.S. Secret Service policy.","725","2011-10-12","South Korea"
"444","First Lady Michelle Obama","His Excellency Petr Necas, Prime Minister of the Czech Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Blue crystal brooch with small crystal pieces in circular shape. Moser crystal decanter and six crystal glasses with gold rim, in pattern called ‘‘Splendid.’’","National Archives and Records Administration.","1872","2011-10-27","Czech Republic"
"445","First Lady Michelle Obama","His Excellency Hu Jintao, President of the People’s Republic of China.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Approximately 72″ 24″ gray, red, and black cashmere scarf made by 1436 Erdos","National Archives and Records Administration.","412","2011-11-10","Republic of China"
"446","First Lady Michelle Obama","Dr. Lien Chan, Honorary Chairman of the Kuomintang.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Franz brand ‘‘Island Beauty’’ sculpted porcelain vase with hibiscus flower design sculpted porcelain vase in red with flower wrapped around the exterior","National Archives and Records Administration.","590","2011-11-10","Republic of China"
"447","First Lady Michelle Obama","His Excellency Dr. H. Susilo Bambang Yudhoyono, President of the Republic of Indonesia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Four 18″ 18″ Batik pillow cases in brown, yellow, and black design. 20″ 90″ decorative Batik table runner in brown, yellow, and black with four tassels hanging from the corners. Batik bag in brown with black and white design","National Archives and Records Administration.","410","2011-11-11","Indonesia"
"448","First Lady Michelle Obama","His Excellency Truong Tan Sang, President of the Socialist Republic of Vietnam.","Non-acceptance would cause embarrassment to donor and U.S. Government.","80″ 15″ gray scarf with floral embroidery. Brown velvet handbag with orange floral embroidery","National Archives and Records Administration.","640","2011-11-12","Vietnam"
"449","First Lady Michelle Obama","The Honorable Peter O’Neill, Prime Minister of Papua New Guinea. .","Non-acceptance would cause embarrassment to donor and U.S. Government.","Book, title: ‘‘Pathways to Independence: Story of Official Family Life in Papua New Guinea from 1951—1975,’’ by Rachel Cleland. Bird of Paradise gold pendant, ornately crafted and inset with various stones","National Archives and Records Administration.","575","2011-11-13","Papua New Guinea"
"450","First Family, Obamas","His Excellency Nicolas Sarkozy and Mrs. Carla Bruni-Sarkozy, President and First Lady of the French Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Set of seven Bonpoint Paris perfume, skincare lotion, and soap products presented in rectangular zip up white box that says Bonpoint on the inside flap","Handled pursuant to US Secret Service policy.","401","2011-01-10","France"
"451","First Family, Obamas","The Right Honorable David Cameron, MP, Prime Minister of the United Kingdom of Great Britain and Northern Ireland and Mrs. Samantha Cameron.","Non-acceptance would cause embarrassment to donor and U.S. Government.","One silver Links Sweetie Bracelet with an ‘‘M’’ charm, enclosed in black velvet bag and inside cream colored box. One silver Links Sweetie Bracelet with an ‘‘S’’ charm, enclosed in black velvet bag and inside cream colored box. 13″ bone-shaped chew toy with United Kingdom flag","National Archives and Records Administration.","589.18","2011-05-24","United Kingdom of Great Britain and Northern Ireland"
"452","First Family, Obamas","His Excellency YAB Dato’ Sri Haji Mohd Najib bin Tun Haji Abdul Razak, Prime Minister of Malaysia. ,","Non-acceptance would cause embarrassment to donor and U.S. Government.","36″ 94″ purple batik with blue fringe, and silver, green, orange, red, and blue pattern. 36″ 94″ pink batik with white fringe and silver, purple, blue green, and orange pattern; Two books, title: ‘‘The Discerning Voice of the First Lady Rosmah’’ contained in cardboard book sleeves","National Archives and Records Administration.","715","2011-11-13","Malaysia"
"453","First Family, Obamas","The Honorable Julia Gillard MP, Prime Minister of the Commonwealth of Australia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Toy brown kangaroo stuffed animal with baby kangaroo in its pouch. Gray, white, and black Koala Bear stuffed animal. DVD, title: ‘‘Red Dog.’’ EMU boots in chestnut color and Paddington HI style. EMU boots in chocolate color and Paddington HI style","National Archives and Records Administration.","388","2011-11-15","Australia"
"454","First Family, Obamas","Mrs. Carla Bruni-Sarkozy, First Lady of the French Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Pink outfit from Bonpoint Paris clothing store. Green outfit from Bonpoint Paris clothing store","National Archives and Records Administration.","360.85","2011-01-10","France"
"455","First Family, Obamas","The Honorable Sergio Cabral, Governor of the State of Rio de Janeiro of the Federative Republic of Brazil. ’ o","Non-acceptance would cause embarrassment to donor and U.S. Government.","Personalized red, white, and green striped Adidas soccer jersey with ‘‘Unimed’’ on front. Personalized yellow and green Nike Brazil national soccer team jersey. Personalized white, black, and blue ‘‘Penalty’ soccer jersey with ‘‘Electrobras’ on front. Personalized ‘‘Olympikus’’ red and black striped soccer jersey. Personalized black and white striped ‘‘Fila’’ soccer jersey. 3″ 5″ black and white spiral notebook with photo of the face of ‘‘Crist Redentor.’’ Yellow coffee mug with ‘‘Rio de Janeiro’’ and beach and heart designs across it. Star-shaped yellow bag clip with ‘‘Rio de Janeiro’’ on front. ‘‘I [heart] Rio’’ miniature pen","National Archives and Records Administration.","682.7","2011-03-18","Brazil"
"456","First Family, Obamas","Her Excellency Dilma Rousseff, President of the Federative Republic of Brazil.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Two 6″ 4.5″ 2″ wooden jewelry box with lily flower and hummingbird design on top, presented in charcoal grey box with gold-colored Brazil seal sticker on top","National Archives and Records Administration.","470","2011-03-19","Brazil"
"457","First Family, Obamas","The Honorable Sergio Cabral, Governor of the State of Rio de Janeiro of the Federative Republic of Brazil. 5″","Non-acceptance would cause embarrassment to donor and U.S. Government.","Personalized red and green Adidas soccer jersey with white collar and ‘‘Unimed’’ on front. Yellow Nike soccer jersey with one horizontal green stripe along on front. Personalized white Penalty soccer jersey with one diagonal black stripe and ‘‘Electrobras’’ in blue on front. Personalized ‘‘Fila’’ black and white striped soccer jersey, and ‘‘Neo Quimica Gerenicos’’ on front. Personalized black and red striped ‘‘Olympikus’’ soccer jersey. 3.25″ 4.5″ black notebook with black and white image of Copacabana Beach on front cover. Yellow mug with cartoon image of Rio de Janeiro, Brazil and ‘‘Rio de Janeiro’’ written in black on front and back. 5″ plastic pen with liquid and glitter. ‘‘I [heart] Rio.’’ 2. yellow plastic clip magnet with cartoon image of Rio de Janeiro and ‘‘Rio de Janeiro’’ written in black on top center","National Archives and Records Administration.","685.58","2011-03-20","Brazil"
"458","First Family, Obamas","His Excellency Enda Kenny, T.D., Taoiseach of Ireland. s","Non-acceptance would cause embarrassment to donor and U.S. Government.","Book, title: ‘‘At the Gateways of the Day (1924): Tales and Legends of Hawaii, Vol. 1,’’ 1st Edition by Padraic Colum, enclosed in green and yellow paisley cardboard sleeve. 1.75″ Sterling silver History of Ireland brooch depicting Irelan through the ages, enclosed in 2.5″ 2.25″ 1″ black box. 36″ wooden hurling stick with black electrical tape near top and bottom. 20mm diameter Sterling silver History of Ireland cufflink depicting Ireland through the ages, enclosed in 4″ 3″ 1″ black box","National Archives and Records Administration.","553.95","2011-05-23","Ireland"
"459","First Family, Obamas","Her Excellency Dr. Angela Merkel, Chancellor of the Federal Republic of Germany. in","Non-acceptance would cause embarrassment to donor and U.S. Government","Adidas Blue Storm Kids’ swimming goggles. Adidas mini soccer ball in white and blue. Adidas mini soccer ball in white and red. Adidas t-shirt in black with Adidas written in pink. Adidas Aquazilla clear goggles. Adidas t-shirt in black with multicolor dots. Two white journals with the Adidas logo on front. Adidas hooded windbreaker jacket in black, pink, and white. Two red Active Towels with ‘‘Adidas’’ printed in white. Adidas white hooded zip-up jacket. Two gold Adicolor Hold all bags with ‘‘Adidas’’ written black","National Archives and Records Administration.","557","2011-06-06","Germany"
"460","First Family, Obamas","His Excellency Lee Myung-bak and Mrs. Kim Yoon-ok, Presit. dent and First Lady of the Republic of Korea.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Two Trisha-brand silver necklaces with circle and nested diamond","National Archives and Records Administration.","660","2011-10-12","South Korea"
"461","White House Staff Member. Avery, Heidi.","Ali Bin Mohsen Fetais Al Marri, Attorney General of the State of Qatar.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Cartier automatic steel Ballon Bleu medium model women’s watch","Pending Transfer to the General Services Administration.","5100","2011-01-02","Qatar"
"462","White House Staff Member. Avery, Heidi.","His Excellency Sheikh Abdullah bin Khalid Al Thani, Minister of Interior of the State of Qatar.","Non-acceptance would cause embarrassment to donor and U.S. Government.","5.9″ 11.4″ 5.5″ cowhide leather Louis Vuitton ‘‘Icare’’ bag with golden brass pieces, presented in peach colored cloth cover with ‘‘Louis Vuitton’’ on front in brown lettering","Pending transfer to General Services Administration.","365","2011-02-17","Qatar"
"463","White House Staff Member. Brennan, John.","h Under Secretary Hakan Fidan, Director of the Turkish National Intelligence Organization.","Non-acceptance would cause embarrassment to donor and U.S. Government.","51⁄2″ circular decorative metal dis with floral designs","Pending Transfer to the General Services Administration.","380","2011-12-13","Turkey"
"464","White House Staff Member. Daley, Bill.","Her Majesty Queen Elizabeth II Queen of United Kingdom of Great Britain and Northern Ireland and His Royal Highness Prince Phillip, Duke of Edinburgh.","Non-acceptance would cause embarrassment to donor and U.S. Government.","9″ 13″ signed photograph of Her Majesty in black leather frame. 9″ 13″ signed photograph of His Royal Highness in black leather frame","Pending Transfer to the General Services Administration.","5000","2011-05-24","United Kingdom of Great Britain and Northern Ireland"
"465","White House Staff Member. Donilon, Thomas.","Her Majesty Queen Elizabeth II, Queen of the United Kingdom of Great Britain and Northern Ireland and His Royal Highness Prince Phillip, Duke of Edinburgh.","Non-acceptance would cause embarrassment to donor and U.S. Government.","13.5″ 10.5″ signed photograph of Her Majesty and His Royal Highness in black leather frame","Pending Transfer to the General Services Administration.","3600","2011-05-24","United Kingdom of Great Britain and Northern Ireland"
"466","White House Staff Member. Donilon, Thomas.","His Excellency Major General Morad Mowafy, Director of the Egyptian General Intelligence Service.","Non-acceptance would cause embarrassment to donor and U.S. Government.","10″ silver replica hookah, enclosed in blue felt box","Pending Transfer to the General Services Administration.","425","2011-07-27","Egypt"
"467","White House Staff Member. Donilon, Thomas.","His Excellency Dai Bingguo, State Councilor of the People’s Republic of China.","Non-acceptance would cause embarrassment to donor and U.S. Government.","22.5″ 16″ limited edition copy of ‘‘Dwelling in the Fuchun Mountains,’’ originally painted by Huang Gongwang in the 14th century","Pending Transfer to the General Services Administration.","1100","2011-11-12","Republic of China"
"468","White House Staff Member. Donilon, Thomas.","Under Secretary Hakan Fidan, Director of the Turkish National Intelligence Organization.","Non-acceptance would cause embarrassment to donor and U.S. Government.","6″ 3″ Silver bowl that resembles flower","Pending Transfer to the General Services Administration.","440","2011-12-13","Turkey"
"469","White House Staff Member. Froman, Michael.","Her Majesty Queen Elizabeth II, Queen of the United Kingdom of Great Britain and Northern Ireland and His Royal Highness Prince Phillip, Duke of Edinburgh.","Non-acceptance would cause embarrassment to donor and U.S. Government","13.5″ 10.5″ signed photograph of Her Majesty and His Royal Highness in black leather frame","Pending Transfer to the General Services Administration.","3600","2011-05-24","United Kingdom of Great Britain and Northern Ireland"
"470","White House Staff Member. Jarrett, Valerie.","Her Majesty Queen Elizabeth II, Queen of the United Kingdom of Great Britain and Northern Ireland and His Royal Highness Prince Phillip, Duke of Edinburgh.","Non-acceptance would cause embarrassment to donor and U.S. Government.","13.5″ 10.5″ signed photograph of Her Majesty and His Royal Highness in black leather frame","Pending Transfer to the General Services Administration.","3600","2011-05-24","United Kingdom of Great Britain and Northern Ireland"
"471","White House Staff Member. Jensen, Robert.","His Majesty King Abdullah II ibn Al Hussein, King of the Hashemite Kingdom of Jordan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Stainless steel Swiss Military wrist watch by Chrono, contained in 4.5″ 5.5″ 2.5″ green box","Pending Transfer to the General Services Administration.","750","2011-06-08","Jordan"
"472","White House Staff Member. McDonough, Denis.","His Excellency Islam Karimov, President of the Republic of Uzbekistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Traditionally etched gold tea kettle that is approximately 11.5″ tall. Two small gold teacups, approximately 1″ tall. Gift presented in 15.5″ 10.5″ 6″ red wooden box with gold seal on the cover","Pending Transfer to the General Services Administration.","850","2011-06-01","Uzbekistan"
"473","White House Staff Member. McDonough, Denis.","Hu Wei-jen, NSC Secretary General of the Taiwan National Security Council of Taiwan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Circular green glass relief sculpture of Chinese-style dragon made by Tittot, glass is approximately 4″ in diameter and 1.75″ thick","Pending Transfer to the General Services Administration.","485","2011-12-02","Republic of China"
"474","White House Staff Member. McFaul, Michael.","His Excellency Ruslan Kazakbaev, Minister of Foreign Affairs of the Kyrgyz Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","45″ 82″ wool rug with hands/ paws/dots. 40″ 22″ tapestry in autumnal colors, made of wool with 22″ bamboo sticks on each end","Pending Transfer to the General Services Administration.","1380","2011-05-15","Kyrgyzstan"
"475","White House Staff Member. McFaul, Michael.","Her Excellency Roza Otunbayeva, President of the Kyrgyz Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Lacquered folding chess/checkers board with backgammon, filled with carved wood pieces. The board is dark wood, roughly square, but with decorative rounded edges, closed by brass clasps","Pending Transfer to the General Services Administration.","420","2011-12-21","Kyrgyzstan"
"476","White House Staff Member. Mosteller, Brian.","His Majesty King Abdullah II ibn Al Hussein, King of the Hashemite Kingdom of Jordan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Stainless steel Swiss Military wristwatch by Chrono, contained in 4.5″ 5.5″ 2.5″ green box","Pending Transfer to the General Services Administration.","750","2011-06-08","Jordan"
"477","White House Staff Member. Newton, Julia.","His Majesty King Abdullah II ibn Al Hussein, King of the Hashemite Kingdom of Jordan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Necklace of red and white stone beads with silver chain and medallion in the middle, contained in 7.5″ 7.5″ 2.5″ yellow and red","Pending Transfer to the General Services Administration.","1260","2011-06-07","Jordan"
"478","White House Staff Member. Phee, Molly.","His Excellency Usama Al-Nujaifi, Speaker of Iraqi Parliament.","Non-acceptance would cause embarrassment to donor and U.S. Government.","11″ 7″ leather-bound, handmade silver platter with ornate design in 13.5″ 9.5″ leather presentation box, held in black zippered case","Pending Transfer to the General Services Administration.","390","2011-07-20","Iraq"
"479","White House Staff Member. Plouffe, David.","Her Majesty Queen Elizabeth II, Queen of the United Kingdom of Great Britain and Northern Ireland and His Royal Highness Prince Phillip, Duke of Edinburgh.","Non-acceptance would cause embarrassment to donor and U.S. Government.","13.5″ 10.5″ signed photograph of Her Majesty and His Royal Highness in black leather frame","Pending Transfer to the General Services Administration.","3600","2011-05-24","United Kingdom of Great Britain and Northern Ireland"
"480","White House Staff Member. Russel, Danny.","His Excellency Han Duck-soo, Ambassador of the Republic of Korea.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Red silk tie by Hermes. Brooch by the Gana Art Gallery composed of turquoise stone, silver-plated leaves, and small purple and orange stones","Pending Transfer to the General Services Administration.","575","2011-11-01","South Korea"
"481","White House Staff Member. Sherwood-Randall, Elizabeth.","Her Majesty Queen Elizabeth II, Queen of the United Kingdom of Great Britain and Northern Ireland and His Royal Highness Prince Phillip, Duke of Edinburgh.","Non-acceptance would cause embarrassment to donor and U.S. Government.","13.5″ 10.5″ signed photograph of Her Majesty and His Royal Highness in black leather frame","Pending Transfer to the General Services Administration.","3600","2011-05-24","United Kingdom of Great Britain and Northern Ireland"
"482","President Barack Obama","His Majesty Sultan Haji Hassanal Bolkiah Mu’izzaddin Waddaulah ibni Al-Marhum Sultan Haji Omar ‘Ali Saifuddien Sa’adul Khairi Waddien, Sultan and Yang DiPertuan of Brunei Darussalam.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Four books. Fiorentina Italian leather backgammon set, presented in 17″ 9″ presentation box. Baccarat crystal figurine, presented in 7″ 4.5″ red presentation box. Thinkashmir Scialli Charles black cashmere shawl. Plush stuffed animal. Two framed photo prints from the Providence Picture Frame Company. 28″ 23″ dark brown wicker basket with white and red-colored bow tied to handle. Three scented Persian candles in individual 5″ 3″ white boxes","Archives Foreign; Perishable items handled pursuant to U.S. Secret Service policy.","2045","2009-02-01","Brunei"
"483","President Barack Obama","His Excellency Hu Jintao, President of the People’s Republic of China.","Non-acceptance would cause embarrassment to donor and U.S. Government.","12.75″ 7″ cylindrical ‘‘Franz Collection’’ vase featuring high relief blue iris leaves against cream color background","Archives Foreign.","1000","2009-04-01","Republic of China"
"484","President Barack Obama","His Excellency Silvio Berlusconi, Prime Minister of the Italian Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","16.5″ 12″ Pineider brown leather briefcase embossed with seal of the 2009 G8 Summit with yellow dust bag and black handling gloves. Navy silk tie. Plastic watch. Book, title: ‘‘L’Aquila: Saving an Art City.’’ Office supplies with 2009 G8 Summit seal. Book, title: ‘‘G8 Now’’","Archives Foreign.","3007","2009-07-01","Italy"
"485","President Barack Obama","The Honorable Dr. Alfonso Petersen, Mayor of Guadalajara, Jalisco, United Mexican States.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Four bottles of tequila, presented in display boxes. Wooden trunk containing silver ark with decorative ceramic design on the front and silver bells on each side","Archives Foreign; Perishable Items Handled Pursuant to U.S. Secret Service Policy.","1880","2009-08-09","Mexico"
"486","President Barack Obama","His Excellency Asif Ali Zardari, President of the Is lamic Republic of Pakistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","26″ 32.5″ framed portrait of President Obama","Archives Foreign.","1200","2009-09-30","Pakistan"
"487","President Barack Obama","His Excellency Lee Hsien Loong, Prime Minister of the Republic of Singapore.","Non-acceptance would cause embarrassment to donor and U.S. Government.","16″ 23.75″ metal panel with cityscape view of Singapore, presented in wooden box with plaque on the top that reads ‘‘APEC Singapore 2009.’’ 9.5″ 6.75″ 2.75″ bronze abstract sculpture in braided motif inscribed, ‘‘From the 2009 APEC Conference in Singapore,’’ presented in fitted wooden presentation box","Archives Foreign.","9000","2009-11-01","Singapore"
"488","President Barack Obama","His Majesty Sultan Haji Hassanal Bolkiah Mu’izzaddin Waddaulah ibni Al-Marhum Sultan Haji Omar ‘Ali Saifuddien Sa’adul Khairi Waddien, Sultan and Yang DiPertuan of Brunei Darussalam.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Three hardcover books. Two paperback books. Mara Fine Silver silver-plated tea caddie. 64 oz. fluted silver-plated pitcher. 9″ Cricklewood crystal oval vase. 24″ diameter tin plated copper tray. 4.5″ bronze Sona vessel with gold finish and blackened-aluminum resting ring. Knit purple blanket with orange and green fabric. 16″ 24″ black tray","Archives Foreign.","1758","2009-12-28","Brunei"
"489","President Barack Obama","Her Excellency Houda Nonoo, Ambassador of the Kingdom of Bahrain to the United States.","Non-acceptance would cause embarrassment to donor and U.S. Government.","8″ 10″ Christolfe silver picture frame with photograph of President Obama at table with officials of the Kingdom of Bahrain","Archives Foreign.","430","2010-01-03","Bahrain"
"490","President Barack Obama","His Majesty the King Juan Carlos and Her Majesty Queen Sophia, King and Queen of Spain.","Non-acceptance would cause embarrassment to donor and U.S. Government.","6.25″ 6.25″ silver plate engraved with royal signature, in blue presentation box","Archives Foreign.","660","2010-02-17","Spain"
"491","President Barack Obama","His Holiness the Dalai Lama","Non-acceptance would cause embarrassment to donor and U.S. Government.","30″ 54″ multicolored Tibetan scroll depicting Buddhist deity on gold-colored inlay. 26″ 124″ white-patterned Tibetan shawl. 5.75″ 7.5″ silver and cream-colored cardstock with written inscription","Archives Foreign.","1410","2010-02-18","na"
"492","President Barack Obama","His Excellency Mauricio Funes and Mrs. Vanda Pignato, President and Spouse of the Republic of El Salvador.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Four piece metal sculpture of Don Quixote and Sancho Panza on horses, by Alfredo Melara Farfan","Archives Foreign.","1000","2010-03-08","El Salvador"
"493","President Barack Obama","His Excellency Brian Cowen, Taoiseach of Ireland.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Two first edition volumes of William Yates books, published in 1906 and 1907","Archives Foreign.","357","2010-03-16","Ireland"
"494","President Barack Obama","The Arts Council of Ireland",". Non-acceptance would cause embarrassment to donor and U.S. Government.","Anthology of Irish poetry, signed by six Irish poets","Archives Foreign.","1545","2010-03-17","Ireland"
